Polish name;English name;Latin name;Category;Conservation;Order;Family;Status;Chosen;Top 30;Top 140;Image
bocian czarny;Black stork;Ciconia nigra;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Ciconiiformes;Ciconiidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Blackstorksmall.JPG/150px-Blackstorksmall.JPG
bogatka;Great tit;Parus major;A;pod ścisłą ochroną;Passeriformes;Paridae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Parus_major_m.jpg/150px-Parus_major_m.jpg
brodziec piegowaty;Greater yellowlegs;Tringa melanoleuca;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/GreaterYellowlegs23.jpg/150px-GreaterYellowlegs23.jpg
brodziec piskliwy;Common sandpiper;Actitis hypoleucos;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Actitis_hypoleucos_1_tb_%28Marek_Szczepanek%29.jpg/150px-Actitis_hypoleucos_1_tb_%28Marek_Szczepanek%29.jpg
brodziec plamisty;Spotted sandpiper;Actitis macularius;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Actitis-macularia-005.jpg/150px-Actitis-macularia-005.jpg
brodziec pławny;Marsh sandpiper;Tringa stagnatilis;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;l P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Tringa_stagnatilis.jpg/150px-Tringa_stagnatilis.jpg
brodziec śniady;Spotted redshank;Tringa erythropus;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Dunkler_Wasserlaeufer1.JPG/150px-Dunkler_Wasserlaeufer1.JPG
brodziec żółtonogi;Lesser yellowlegs;Tringa flavipes;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Lesser_Yellowlegs.jpg/150px-Lesser_Yellowlegs.jpg
brzegówka;Bank swallow;Riparia riparia;A;pod ścisłą ochroną;Passeriformes;Hirundinidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Sand-Martin2.jpg/150px-Sand-Martin2.jpg
brzęczka;Savi's warbler;Locustella luscinioides;A;pod ścisłą ochroną;Passeriformes;Locustellidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Locustellaluscinioides.jpg/150px-Locustellaluscinioides.jpg
burzyk balearski;Balearic shearwater;Puffinus mauretanicus;A;pod ścisłą ochroną;Procellariiformes;Procellariidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Puffinus_mauretanicus.jpg/150px-Puffinus_mauretanicus.jpg
burzyk północny;Manx shearwater;Puffinus puffinus;A;pod ścisłą ochroną;Procellariiformes;Procellariidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Puffinus_puffinus_-Iceland_-flying-6.jpg/150px-Puffinus_puffinus_-Iceland_-flying-6.jpg
burzyk szary;Sooty shearwater;Ardenna grisea;A;pod ścisłą ochroną;Procellariiformes;Procellariidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Sooty_Shearwater.jpg/150px-Sooty_Shearwater.jpg
burzyk żółtodzioby;Cory's shearwater;Calonectris diomedea;A;pod ścisłą ochroną;Procellariiformes;Procellariidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Cagarra_Selvagem_Pequena.jpg/150px-Cagarra_Selvagem_Pequena.jpg
cierlik;Cirl bunting;Emberiza cirlus;A;pod ścisłą ochroną;Passeriformes;Emberizidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Emberiza_cirlus_closeup.jpg/150px-Emberiza_cirlus_closeup.jpg
cierniówka;Greater whitethroat;Curruca communis;A;pod ścisłą ochroną;Passeriformes;Sylviidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Tallareta_vulgar_01_%28Sylvia_communis%29.jpg/150px-Tallareta_vulgar_01_%28Sylvia_communis%29.jpg
cietrzew;Black grouse;Lyrurus tetrix;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Galliformes;Phasianidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Black_Grouse_Nationalpark_Bayerischer_Wald.jpg/150px-Black_Grouse_Nationalpark_Bayerischer_Wald.jpg
cyraneczka;Green-winged teal;Anas crecca;A;łowny z okresem ochronnym;Anseriformes;Anatidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Common_Teal_%28Anas_crecca%29_near_Hodal%2C_Haryana_W_IMG_6577.jpg/150px-Common_Teal_%28Anas_crecca%29_near_Hodal%2C_Haryana_W_IMG_6577.jpg
cyraneczka karolińska;Green-winged Teal;Anas carolinensis;A;pod ścisłą ochroną;Anseriformes;Anatidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Anas_carolinensis_FWS.jpg/150px-Anas_carolinensis_FWS.jpg
cyranka;Garganey;Spatula querquedula;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Anseriformes;Anatidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Garganey_duck.jpg/150px-Garganey_duck.jpg
cyranka modroskrzydła;Blue-winged teal;Spatula discors;A;pod ścisłą ochroną;Anseriformes;Anatidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Bluewingedteal54.jpg/150px-Bluewingedteal54.jpg
czajka;Northern lapwing;Vanellus vanellus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Charadriiformes;Charadriidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Kiebitz_050424ausschnitt.jpg/150px-Kiebitz_050424ausschnitt.jpg
czajka stepowa;White-tailed lapwing;Vanellus leucurus;A;pod ścisłą ochroną;Charadriiformes;Charadriidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Weissschwanzkiebitz.jpg/150px-Weissschwanzkiebitz.jpg
czajka szponiasta;Spur-winged lapwing;Vanellus spinosus;A;;Charadriiformes;Charadriidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Spur-winged_Lapwing_%28Vanellus_spinosus%29_%2821152292885%29.jpg/150px-Spur-winged_Lapwing_%28Vanellus_spinosus%29_%2821152292885%29.jpg
czajka towarzyska;Sociable lapwing;Vanellus gregarius;A;pod ścisłą ochroną;Charadriiformes;Charadriidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Sociable_Lapwing.jpg/150px-Sociable_Lapwing.jpg
czapla biała;Great egret;Ardea alba;A;pod ścisłą ochroną;Pelecaniformes;Ardeidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Egretta_alba_2_%28Lukasz_Lukasik%29.jpg/150px-Egretta_alba_2_%28Lukasz_Lukasik%29.jpg
czapla modronosa;Squacco heron;Ardeola ralloides;A;pod ścisłą ochroną;Pelecaniformes;Ardeidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Flickr_-_Rainbirder_-_Squacco_Heron_%28Ardeola_ralloides%29.jpg/150px-Flickr_-_Rainbirder_-_Squacco_Heron_%28Ardeola_ralloides%29.jpg
czapla nadobna;Little egret;Egretta garzetta;A;pod ścisłą ochroną;Pelecaniformes;Ardeidae;l P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Little_Egret_Reflection.jpg/150px-Little_Egret_Reflection.jpg
czapla purpurowa;Purple heron;Ardea purpurea;A;pod ścisłą ochroną;Pelecaniformes;Ardeidae;l P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Purple_Heron_%28Ardea_purpurea%29_in_Kolkata_W_IMG_3352.jpg/150px-Purple_Heron_%28Ardea_purpurea%29_in_Kolkata_W_IMG_3352.jpg
czapla siwa;Gray heron;Ardea cinerea;A;objęty ochroną częściową;Pelecaniformes;Ardeidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Bird01.jpg/150px-Bird01.jpg
czapla złotawa;Cattle egret;Bubulcus ibis;A;pod ścisłą ochroną;Pelecaniformes;Ardeidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Red-flush_Cattle_Egret.jpg/150px-Red-flush_Cattle_Egret.jpg
czarnogłówka;Willow Tit;Poecile montanus;A;pod ścisłą ochroną;Passeriformes;Paridae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Poecile_Montanus_Kittila_20120307.JPG/150px-Poecile_Montanus_Kittila_20120307.JPG
czarnowron;Carrion crow;Corvus corone;A;pod ścisłą ochroną;Passeriformes;Corvidae;l P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Wikikraai.jpg/150px-Wikikraai.jpg
czeczotka;Common redpoll;Acanthis flammea;A;pod ścisłą ochroną;Passeriformes;Fringillidae;P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Acanthis_flammea%2C_Kotka%2C_Finland_3.jpg/150px-Acanthis_flammea%2C_Kotka%2C_Finland_3.jpg
czeczotka brązowa;Lesser redpoll;Acanthis cabaret;A;;Passeriformes;Fringillidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Carduelis_cabaret1.jpg/150px-Carduelis_cabaret1.jpg
czeczotka tundrowa;Hoary redpoll;Acanthis hornemanni;A;pod ścisłą ochroną;Passeriformes;Fringillidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Carduelis_hornemanni_CT3.jpg/150px-Carduelis_hornemanni_CT3.jpg
czernica;Tufted duck;Aythya fuligula;A;łowny z okresem ochronnym;Anseriformes;Anatidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Tufted-Duck-male-female.jpg/150px-Tufted-Duck-male-female.jpg
czerniczka;Ring-necked duck;Aythya collaris;A;pod ścisłą ochroną;Anseriformes;Anatidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Aythya-collaris-001.jpg/150px-Aythya-collaris-001.jpg
czubatka;Crested Tit;Lophophanes cristatus;A;pod ścisłą ochroną;Passeriformes;Paridae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Lophophanes_cristatus_Luc_Viatour_2.jpg/150px-Lophophanes_cristatus_Luc_Viatour_2.jpg
czyż;Eurasian siskin;Spinus spinus;A;pod ścisłą ochroną;Passeriformes;Fringillidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Carduelis_spinus_2_%28Martin_Mecnarowski%29.jpg/150px-Carduelis_spinus_2_%28Martin_Mecnarowski%29.jpg
derkacz;Corn crake;Crex crex;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Gruiformes;Rallidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Crex_crex00.jpg/150px-Crex_crex00.jpg
drop;Great bustard;Otis tarda;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Otidiformes;Otididae;(l) Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Dabao.jpg/150px-Dabao.jpg
drozd czarnogardły;Black-throated thrush;Turdus atrogularis;A;pod ścisłą ochroną;Passeriformes;Turdidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/A_dark-throated_Thrush_female_-_Dhanachuli%2C_Uttarakhand_India.jpg/150px-A_dark-throated_Thrush_female_-_Dhanachuli%2C_Uttarakhand_India.jpg
drozd obrożny;Ring ouzel;Turdus torquatus;A;pod ścisłą ochroną;Passeriformes;Turdidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Turdus_torquatus2.jpg/150px-Turdus_torquatus2.jpg
drozd oliwkowy;Eyebrowed thrush;Turdus obscurus;A;pod ścisłą ochroną;Passeriformes;Turdidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Eyebrowed_Thrush.jpg/150px-Eyebrowed_Thrush.jpg
drozd rdzawogardły;Red-throated thrush;Turdus ruficollis;A;pod ścisłą ochroną;Passeriformes;Turdidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Dark_Throated_Thrush_in_Temple_of_Heaven.JPG/150px-Dark_Throated_Thrush_in_Temple_of_Heaven.JPG
drozd rdzawoskrzydły;Dusky thrush;Turdus eunomus;A;pod ścisłą ochroną;Passeriformes;Turdidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Tsugumi1.JPG/150px-Tsugumi1.JPG
drozd rdzawy;Naumann's thrush;Turdus naumanni;A;pod ścisłą ochroną;Passeriformes;Turdidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Turdus_naumanni_naumanni.jpg/150px-Turdus_naumanni_naumanni.jpg
drozdaczek ciemny;Siberian thrush;Geokichla sibirica;A;pod ścisłą ochroną;Passeriformes;Turdidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Turdus_sibiricus.jpg/150px-Turdus_sibiricus.jpg
drozdoń tajgowy;White's thrush;Zoothera aurea;A;pod ścisłą ochroną;Passeriformes;Turdidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Toratsugumi_05z5249a.jpg/150px-Toratsugumi_05z5249a.jpg
droździk;Redwing;Turdus iliacus;A;pod ścisłą ochroną;Passeriformes;Turdidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Redwing_Turdus_iliacus.jpg/150px-Redwing_Turdus_iliacus.jpg
drzemlik;Merlin;Falco columbarius;A;pod ścisłą ochroną;Falconiformes;Falconidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Merlin_Falcon_3519308347.jpg/150px-Merlin_Falcon_3519308347.jpg
dubelt;Great snipe;Gallinago media;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Gallinago_media.jpg/150px-Gallinago_media.jpg
dudek;Eurasian hoopoe;Upupa epops;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Bucerotiformes;Upupidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/ABUBILLA_%28Upupa_epops%29.jpg/150px-ABUBILLA_%28Upupa_epops%29.jpg
dymówka;Barn swallow;Hirundo rustica;A;pod ścisłą ochroną;Passeriformes;Hirundinidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Landsvale.jpg/150px-Landsvale.jpg
dzierlatka;Crested lark;Galerida cristata;A;pod ścisłą ochroną;Passeriformes;Alaudidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Cotovia-de-poupa.jpg/150px-Cotovia-de-poupa.jpg
dzierzba czarnoczelna;Lesser gray shrike;Lanius minor;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Passeriformes;Laniidae;l Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Schwarzstirnwuerger.jpg/150px-Schwarzstirnwuerger.jpg
